60.0,30,0,0,0,0,0,0,0,1374,0.5,0.18333333333333332,41.850000000000001,1141.0636438000004,3.40000000000155e-06,0.0
2.0,-,61585,1,62749,rejected,no
4.0,-,7770,0,7816,rejected,no
6.0,-,70020,0,70067,rejected,no
8.0,-,86078,0,86123,rejected,no
10.0,-,37033,0,37080,rejected,no
12.0,-,44295,0,44314,rejected,no
14.0,-,48473,0,0,-,no
16.0,-,34334,0,0,-,no
18.0,-,39949,0,0,-,no
20.0,-,24521,0,0,-,no
22.0,-,25576,0,0,-,no
24.0,-,11135,0,0,-,no
26.0,-,82427,0,0,-,no
28.0,-,12345,0,0,-,no
30.0,-,36489,0,0,-,no
32.0,-,79286,0,0,-,no
34.0,-,57365,0,0,-,no
36.0,-,2504,0,0,-,no
38.0,-,66301,0,0,-,no
40.0,-,24598,0,0,-,no
42.0,-,24059,0,0,-,no
44.0,-,58,0,0,-,no
46.0,-,41811,0,0,-,no
48.0,-,16200,0,0,-,no
50.0,-,20834,0,0,-,no
52.0,-,79035,0,0,-,no
54.0,-,45137,0,0,-,no
56.0,-,28357,0,0,-,no
58.0,-,26800,0,0,-,no
60.0,-,67645,0,0,-,no
2.000016,-,[1421],0,accepted,no,1,2511
2.041683,2.00022,[1430],0,rejected,no,2,0
2.125017,-,[670],0,rejected,no,4,0
2.166684,-,[27],0,rejected,no,6,0
2.208351,-,[43],0,rejected,no,8,0
2.250018,-,[747],0,rejected,no,10,0
2.291685,-,[1414],0,rejected,no,11,0
2.333352,-,[1426],0,rejected,no,12,0
2.375019,-,[526],0,rejected,no,14,0
2.416686,-,[1388],0,rejected,no,15,0
2.458353,-,[1150],0,rejected,no,16,0
2.50002,-,[369],0,rejected,no,20,0
2.541687,-,[1282],0,rejected,no,21,0
2.583354,-,[1416],0,rejected,no,22,0
2.625021,-,[559],0,rejected,no,24,0
2.666688,-,[11],0,rejected,no,26,0
2.708355,-,[1431],0,rejected,no,27,0
2.750022,-,[509],0,rejected,no,29,0
2.791689,-,[24],0,rejected,no,31,0
2.833356,-,[66],0,rejected,no,33,0
2.875023,-,[437],0,rejected,no,35,0
2.91669,-,[1402],0,rejected,no,36,0
2.958357,-,[1430],0,rejected,no,37,0
3.000024,-,[358],0,rejected,no,41,0
3.041691,-,[1408],0,rejected,no,42,0
3.083358,-,[1329],0,rejected,no,43,0
3.125025,-,[326],0,rejected,no,45,0
3.166692,-,[203],0,rejected,no,47,0
3.208359,-,[553],0,rejected,no,49,0
3.250026,-,[1028],0,rejected,no,53,0
3.291693,-,[95],0,rejected,no,55,0
3.33336,-,[323],0,rejected,no,57,0
3.375027,-,[686],0,rejected,no,59,0
3.416694,-,[1],0,rejected,no,61,0
3.458361,-,[1472],0,rejected,no,62,0
3.500028,-,[726],0,rejected,no,66,0
3.541695,-,[72],0,rejected,no,68,0
3.583362,-,[322],0,rejected,no,70,0
3.625029,-,[322],0,rejected,no,72,0
3.666696,-,[56],0,rejected,no,74,0
3.708363,-,[1456],0,rejected,no,75,0
3.75003,-,[536],0,rejected,no,77,0
3.791697,-,[45],0,rejected,no,79,0
3.833364,-,[50],0,rejected,no,81,0
3.875031,-,[433],0,rejected,no,83,0
3.916698,-,[1496],0,rejected,no,84,0
3.958365,-,[44],0,rejected,no,86,0
4.000032,-,[1433],1,rejected,no,87,0
4.041699,-,[1021],1,rejected,no,88,0
4.083366,-,[991],1,rejected,no,89,0
4.125033,-,[1398],1,rejected,no,90,0
4.208367,-,[884],1,rejected,no,91,0
4.250034,-,[872],1,rejected,no,92,0
4.291701,-,[405],1,rejected,no,95,0
4.333368,-,[964],1,rejected,no,96,0
4.375035,-,[954],1,rejected,no,97,0
4.416702,-,[1390],1,rejected,no,98,0
4.458369,-,[927],1,rejected,no,99,0
4.500036,-,[936],1,rejected,no,100,0
4.541703,-,[1293],1,rejected,no,101,0
4.58337,-,[1120],1,rejected,no,102,0
4.625037,-,[1166],1,rejected,no,103,0
4.666704,-,[303],1,rejected,no,105,0
4.708371,-,[1231],1,rejected,no,106,0
4.750038,-,[1180],1,rejected,no,107,0
4.791705,-,[581],1,rejected,no,110,0
4.833372,-,[1120],1,rejected,no,111,0
4.875039,-,[1176],1,rejected,no,112,0
4.916706,-,[103],1,rejected,no,114,0
4.958373,-,[1052],1,rejected,no,115,0
5.00004,-,[1098],1,rejected,no,116,0
5.041707,-,[1404],1,rejected,no,117,0
5.083374,-,[903],1,rejected,no,118,0
5.125041,-,[1016],1,rejected,no,119,0
5.166708,-,[1347],1,rejected,no,120,0
5.208375,-,[1049],1,rejected,no,121,0
5.250042,-,[973],1,rejected,no,122,0
5.291709,-,[420],1,rejected,no,125,0
5.333376,-,[1090],1,rejected,no,126,0
5.375043,-,[1100],1,rejected,no,127,0
5.41671,-,[185],1,rejected,no,129,0
5.458377,-,[1153],1,rejected,no,130,0
5.500044,-,[1111],1,rejected,no,131,0
5.541711,-,[296],1,rejected,no,133,0
5.583378,-,[1091],1,rejected,no,134,0
5.625045,-,[1044],1,rejected,no,135,0
5.666712,-,[126],1,rejected,no,137,0
5.708379,-,[1099],1,rejected,no,138,0
5.750046,-,[1093],1,rejected,no,139,0
5.791713,-,[293],1,rejected,no,142,0
5.83338,-,[1258],1,rejected,no,143,0
5.875047,-,[1281],1,rejected,no,144,0
5.916714,-,[590],1,rejected,no,146,0
5.958381,-,[1248],1,rejected,no,147,0
6.000048,-,[627],2,rejected,no,153,0
6.041715,-,[233],2,rejected,no,157,0
6.083382,-,[143],2,rejected,no,161,0
6.125049,-,[1254],2,rejected,no,165,0
6.166716,-,[72],2,rejected,no,169,0
6.208383,-,[1],2,rejected,no,173,0
6.25005,-,[371],2,rejected,no,177,0
6.291717,-,[995],2,rejected,no,180,0
6.333384,-,[22],2,rejected,no,184,0
6.375051,-,[826],2,rejected,no,188,0
6.416718,-,[1430],2,rejected,no,191,0
6.458385,-,[1104],2,rejected,no,194,0
6.500052,-,[262],2,rejected,no,200,0
6.541719,-,[1373],2,rejected,no,203,0
6.583386,-,[1084],2,rejected,no,206,0
6.625053,-,[757],2,rejected,no,210,0
6.66672,-,[1488],2,rejected,no,212,0
6.708387,-,[67],2,rejected,no,215,0
6.750054,-,[715],2,rejected,no,219,0
6.791721,-,[357],2,rejected,no,222,0
6.833388,-,[990],2,rejected,no,225,0
6.875055,-,[1199],2,rejected,no,229,0
6.916722,-,[722],2,rejected,no,232,0
6.958389,-,[562],2,rejected,no,235,0
7.000056,-,[412],2,rejected,no,241,0
7.041723,-,[372],2,rejected,no,244,0
7.08339,-,[490],2,rejected,no,247,0
7.125057,-,[736],2,accepted,no,251,0
7.166724,-,[428],2,rejected,no,4,0
7.208391,-,[1112],2,rejected,no,4,0
7.250058,-,[954],2,rejected,no,7,0
7.291725,-,[18],2,rejected,no,11,0
7.333392,-,[244],2,rejected,no,14,0
7.375059,-,[543],2,rejected,no,17,0
7.416726,-,[195],2,rejected,no,20,0
7.458393,-,[587],2,rejected,no,23,0
7.50006,-,[418],2,rejected,no,29,0
7.541727,-,[1496],2,rejected,no,31,0
7.583394,-,[1488],2,rejected,no,33,0
7.625061,-,[1201],2,rejected,no,36,0
7.666728,-,[531],2,rejected,no,39,0
7.708395,-,[363],2,rejected,no,42,0
7.750062,-,[825],2,rejected,no,46,0
7.791729,-,[760],2,rejected,no,49,0
7.833396,-,[617],2,rejected,no,52,0
7.875063,-,[945],2,rejected,no,56,0
7.91673,-,[450],2,rejected,no,59,0
7.958397,-,[677],2,rejected,no,62,0
8.000064,-,[1327],3,rejected,no,65,0
8.041731,-,[44],3,rejected,no,70,0
8.083398,-,[379],3,rejected,no,74,0
8.166732,-,[4],3,rejected,no,78,0
8.208399,-,[1405],3,rejected,no,82,0
8.250066,-,[56],3,rejected,no,86,0
8.291733,-,[517],3,rejected,no,90,0
8.375067,-,[133],3,rejected,no,95,0
8.416734,-,[44],3,rejected,no,99,0
8.458401,-,[135],3,rejected,no,103,0
8.500068,-,[1093],3,rejected,no,109,0
8.541735,-,[21],3,rejected,no,113,0
8.583402,-,[158],3,rejected,no,117,0
8.625069,-,[10],3,rejected,no,122,0
8.666736,-,[1485],3,rejected,no,125,0
8.708403,-,[8],3,rejected,no,129,0
8.75007,-,[938],3,rejected,no,133,0
8.791737,-,[23],3,rejected,no,137,0
8.833404,-,[205],3,rejected,no,141,0
8.875071,-,[1073],3,rejected,no,145,0
8.916738,-,[1277],3,rejected,no,148,0
8.958405,-,[1239],3,rejected,no,151,0
9.000072,-,[982],3,rejected,no,157,0
9.041739,-,[736],3,rejected,no,160,0
9.083406,-,[1239],3,rejected,no,163,0
9.125073,-,[844],3,rejected,no,167,0
9.16674,-,[1204],3,rejected,no,170,0
9.208407,-,[81],3,rejected,no,174,0
9.250074,-,[1381],3,rejected,no,178,0
9.291741,-,[1366],3,rejected,no,181,0
9.333408,-,[1484],3,rejected,no,184,0
9.375075,-,[44],3,rejected,no,189,0
9.416742,-,[147],3,rejected,no,193,0
9.458409,-,[1402],3,rejected,no,196,0
9.500076,-,[758],3,rejected,no,202,0
9.541743,-,[968],3,rejected,no,205,0
9.58341,-,[509],3,rejected,no,208,0
9.625077,-,[1480],3,rejected,no,212,0
9.666744,-,[119],3,rejected,no,216,0
9.708411,-,[124],3,rejected,no,218,0
9.750078,-,[101],3,rejected,no,222,0
9.791745,-,[855],3,rejected,no,223,0
9.833412,-,[879],3,rejected,no,224,0
9.875079,-,[1314],3,rejected,no,225,0
9.916746,-,[679],3,rejected,no,226,0
9.958413,-,[591],3,rejected,no,227,0
10.00008,-,[1039],4,rejected,no,229,0
10.041747,-,[1267],4,rejected,no,231,0
10.083414,-,[1259],4,rejected,no,234,0
10.125081,-,[1177],4,rejected,no,236,0
10.166748,-,[1345],4,rejected,no,238,0
10.208415,-,[1308],4,rejected,no,241,0
10.250082,-,[1199],4,rejected,no,243,0
10.291749,-,[1236],4,rejected,no,245,0
10.333416,-,[1304],4,rejected,no,248,0
10.375083,-,[879],4,accepted,no,250,0
10.41675,-,[923],4,rejected,no,3,0
10.458417,-,[462],4,rejected,no,7,0
10.500084,-,[1391],4,rejected,no,9,0
10.541751,-,[1475],4,rejected,no,11,0
10.583418,-,[475],4,rejected,no,14,0
10.625085,-,[940],4,rejected,no,16,0
10.666752,-,[1079],4,rejected,no,18,0
10.708419,-,[966],4,rejected,no,21,0
10.750086,-,[813],4,rejected,no,23,0
10.791753,-,[1145],4,rejected,no,25,0
10.83342,-,[290],4,rejected,no,28,0
10.875087,-,[1060],4,rejected,no,30,0
10.916754,-,[720],4,rejected,no,32,0
10.958421,-,[361],4,rejected,no,38,0
11.000088,-,[975],4,rejected,no,40,0
11.041755,-,[1000],4,rejected,no,42,0
11.083422,-,[1073],4,rejected,no,45,0
11.125089,-,[950],4,rejected,no,47,0
11.166756,-,[881],4,rejected,no,49,0
11.208423,-,[585],4,rejected,no,52,0
11.25009,-,[1133],4,rejected,no,54,0
11.291757,-,[1098],4,rejected,no,56,0
11.333424,-,[101],4,rejected,no,60,0
11.375091,-,[1043],4,rejected,no,62,0
11.416758,-,[1262],4,rejected,no,64,0
11.458425,-,[687],4,rejected,no,70,0
11.500092,-,[1280],4,rejected,no,72,0
11.541759,-,[7],4,rejected,no,75,0
11.583426,-,[694],4,rejected,no,78,0
11.625093,-,[1360],4,rejected,no,80,0
11.66676,-,[1452],4,rejected,no,82,0
11.708427,-,[1128],4,rejected,no,85,0
11.750094,-,[181],4,rejected,no,88,0
11.791761,-,[664],4,rejected,no,91,0
11.833428,-,[542],4,rejected,no,95,0
11.875095,-,[1133],4,rejected,no,98,0
11.916762,-,[935],4,rejected,no,101,0
11.958429,-,[1351],4,rejected,no,106,0
12.000096,-,[356],5,rejected,no,109,0
12.041763,-,[1080],5,rejected,no,111,0
12.08343,-,[758],5,rejected,no,113,0
12.125097,-,[661],5,rejected,no,116,0
12.166764,-,[535],5,rejected,no,118,0
12.208431,-,[392],5,rejected,no,120,0
12.250098,-,[83],5,rejected,no,123,0
12.291765,-,[517],5,rejected,no,125,0
12.333432,-,[582],5,rejected,no,127,0
12.375099,-,[1146],5,rejected,no,132,0
12.416766,-,[477],5,rejected,no,134,0
12.458433,-,[410],5,rejected,no,136,0
12.5001,-,[1299],5,rejected,no,138,0
12.541767,-,[1173],5,rejected,no,143,0
12.583434,-,[649],5,rejected,no,148,0
12.625101,-,[347],5,rejected,no,158,0
12.666768,-,[769],5,rejected,no,162,0
12.708435,-,[510],5,rejected,no,167,0
12.750102,-,[979],5,rejected,no,172,0
12.791769,-,[817],5,rejected,no,176,0
12.833436,-,[675],0,rejected,no,180,0
12.875103,-,[133],0,rejected,no,182,0
12.91677,-,[139],0,rejected,no,184,0
12.958437,-,[444],0,rejected,no,186,0
13.000104,-,[1192],0,rejected,no,187,0
13.041771,-,[1165],0,rejected,no,188,0
13.083438,-,[182],0,rejected,no,190,0
13.125105,-,[1335],0,rejected,no,191,0
13.166772,-,[1212],0,rejected,no,192,0
13.208439,-,[472],0,rejected,no,194,0
13.250106,-,[1342],0,rejected,no,195,0
13.291773,-,[1377],0,rejected,no,196,0
13.33344,-,[641],0,rejected,no,200,0
13.375107,-,[1319],0,rejected,no,201,0
13.416774,-,[1400],0,rejected,no,202,0
13.458441,-,[298],0,rejected,no,204,0
13.500108,-,[1231],0,rejected,no,205,0
13.541775,-,[1177],0,rejected,no,206,0
13.583442,-,[262],0,rejected,no,208,0
13.625109,-,[1434],0,rejected,no,209,0
13.666776,-,[19],0,rejected,no,211,0
13.708443,-,[440],0,rejected,no,213,0
13.75011,-,[139],0,rejected,no,215,0
13.791777,-,[101],0,rejected,no,217,0
13.833444,-,[589],0,rejected,no,221,0
13.875111,-,[32],0,rejected,no,223,0
13.916778,-,[1463],0,rejected,no,224,0
13.958445,-,[464],0,rejected,no,226,0
14.000112,-,[1404],0,rejected,no,227,0
14.041779,-,[3],0,rejected,no,229,0
14.083446,-,[410],0,rejected,no,231,0
14.125113,-,[1440],0,rejected,no,232,0
14.16678,-,[1486],0,rejected,no,233,0
14.208447,-,[458],0,rejected,no,235,0
14.250114,-,[70],0,rejected,no,237,0
14.291781,-,[1394],0,rejected,no,238,0
