27958270
30.0,20,0,0,0,0,0,0,0,663,0.6666666666666666,0.06666666666666667,0.53333333333333333,0.014575800000000028,5.1200000000006794e-05,0.0
2.0,-,87574,0,87980,rejected,no
2.0,-,80814,0,0,-,no
2.0,-,28007,0,0,-,no
2.0,-,34084,0,0,-,no
2.0,-,55000,0,0,-,no
2.0,-,61145,0,0,-,no
2.0,-,46735,0,0,-,no
2.0,-,3866,0,0,-,no
2.0,-,32464,0,0,-,no
2.0,-,14092,0,0,-,no
2.0,-,34624,0,0,-,no
2.0,-,63079,0,0,-,no
2.0,-,48957,0,0,-,no
2.0,-,35580,0,0,-,no
2.0,-,32970,0,0,-,no
2.0,-,14256,0,0,-,no
2.0,-,14442,0,0,-,no
2.0,-,10252,0,0,-,no
2.0,-,34709,0,0,-,no
2.0,-,1860,1,2115,rejected,no
2.000016,-,[238],19,accepted,no,6,16
2.041683,2.001552,[646],19,accepted,no,10,0
2.125017,-,[593],19,rejected,no,10,0
2.166684,-,[851],19,rejected,no,15,0
2.208351,-,[463],19,rejected,no,19,0
2.250018,-,[436],19,rejected,no,23,0
2.291685,-,[522],19,rejected,no,28,0
2.333352,-,[488],19,rejected,no,32,0
2.375019,-,[466],19,rejected,no,36,0
2.416686,-,[564],19,rejected,no,40,0
2.458353,-,[508],19,rejected,no,43,0
2.50002,-,[78],19,rejected,no,47,0
2.541687,-,[323],19,rejected,no,51,0
2.583354,-,[666],19,rejected,no,54,0
2.625021,-,[644],19,rejected,no,57,0
2.666688,-,[927],19,rejected,no,60,0
2.708355,-,[1348],19,rejected,no,63,0
2.750022,-,[417],19,rejected,no,67,0
2.791689,-,[865],19,rejected,no,72,0
2.833356,-,[1201],19,rejected,no,75,0
2.875023,-,[863],19,rejected,no,78,0
2.91669,-,[582],19,rejected,no,82,0
2.958357,-,[335],19,rejected,no,86,0
3.000024,-,[1225],19,rejected,no,89,0
3.041691,-,[1200],19,rejected,no,94,0
3.083358,-,[1056],19,rejected,no,97,0
3.125025,-,[827],19,rejected,no,100,0
3.166692,-,[765],19,rejected,no,104,0
3.208359,-,[593],19,rejected,no,107,0
3.250026,-,[897],19,rejected,no,110,0
3.291693,-,[464],19,rejected,no,114,0
3.33336,-,[520],19,rejected,no,117,0
3.375027,-,[497],19,rejected,no,120,0
3.416694,-,[262],19,rejected,no,124,0
3.458361,-,[767],19,rejected,no,127,0
